Dose(Gy)         ln(S)        Survival      DoseB(Gy)            RBE   depth(slice)
0              0              1              0            nan            468
0              0              1              0            nan            469
0              0              1              0            nan            470
0              0              1              0            nan            471
0              0              1              0            nan            472
0              0              1              0            nan            473
0              0              1              0            nan            474
0              0              1              0            nan            475
0              0              1              0            nan            476
0              0              1              0            nan            477
0              0              1              0            nan            478
0              0              1              0            nan            479
0              0              1              0            nan            480
0              0              1              0            nan            481
0              0              1              0            nan            482
0              0              1              0            nan            483
0              0              1              0            nan            484
0              0              1              0            nan            485
0              0              1              0            nan            486
0              0              1              0            nan            487
0              0              1              0            nan            488
0              0              1              0            nan            489
0              0              1              0            nan            490
0              0              1              0            nan            491
0              0              1              0            nan            492
0              0              1              0            nan            493
0              0              1              0            nan            494
0              0              1              0            nan            495
0              0              1              0            nan            496
0              0              1              0            nan            497
0              0              1              0            nan            498
0              0              1              0            nan            499
0              0              1              0            nan            500
0              0              1              0            nan            501
0              0              1              0            nan            502
0              0              1              0            nan            503
0              0              1              0            nan            504
0              0              1              0            nan            505
0              0              1              0            nan            506
0              0              1              0            nan            507
0              0              1              0            nan            508
0              0              1              0            nan            509
0              0              1              0            nan            510
0              0              1              0            nan            511
0              0              1              0            nan            512
0              0              1              0            nan            513
0              0              1              0            nan            514
0              0              1              0            nan            515
0              0              1              0            nan            516
0              0              1              0            nan            517
0              0              1              0            nan            518
0              0              1              0            nan            519
0              0              1              0            nan            520
0              0              1              0            nan            521
0              0              1              0            nan            522
0              0              1              0            nan            523
0              0              1              0            nan            524
0              0              1              0            nan            525
0              0              1              0            nan            526
0              0              1              0            nan            527
0              0              1              0            nan            528
0              0              1              0            nan            529
0              0              1              0            nan            530
0              0              1              0            nan            531
0              0              1              0            nan            532
0              0              1              0            nan            533
0              0              1              0            nan            534
0              0              1              0            nan            535
0              0              1              0            nan            536
0              0              1              0            nan            537
0              0              1              0            nan            538
0              0              1              0            nan            539
0              0              1              0            nan            540
0              0              1              0            nan            541
0              0              1              0            nan            542
0              0              1              0            nan            543
0              0              1              0            nan            544
0              0              1              0            nan            545
0              0              1              0            nan            546
0              0              1              0            nan            547
0              0              1              0            nan            548
0              0              1              0            nan            549
0              0              1              0            nan            550
0              0              1              0            nan            551
0              0              1              0            nan            552
0              0              1              0            nan            553
0              0              1              0            nan            554
0              0              1              0            nan            555
0              0              1              0            nan            556
0              0              1              0            nan            557
0              0              1              0            nan            558
0              0              1              0            nan            559
0              0              1              0            nan            560
0              0              1              0            nan            561
0              0              1              0            nan            562
0              0              1              0            nan            563
0              0              1              0            nan            564
0              0              1              0            nan            565
0              0              1              0            nan            566
0              0              1              0            nan            567
0              0              1              0            nan            568
0              0              1              0            nan            569
0              0              1              0            nan            570
0              0              1              0            nan            571
0              0              1              0            nan            572
0              0              1              0            nan            573
0              0              1              0            nan            574
0              0              1              0            nan            575
0              0              1              0            nan            576
0              0              1              0            nan            577
0              0              1              0            nan            578
0              0              1              0            nan            579
0              0              1              0            nan            580
0              0              1              0            nan            581
0              0              1              0            nan            582
0              0              1              0            nan            583
